dest_pstl_cd,Pickup_Day_Name,Total_Shipments,Historical_Avg_Quote,AI_Avg_Quote,Avg_Days_Added
3019,Tuesday,2,4.0,10.0,6.0
3019,Wednesday,1,5.0,11.0,6.0
1116,Wednesday,34,7.7,13.3,5.6
1700,Tuesday,36,6.6,12.1,5.5
1116,Tuesday,30,7.4,12.8,5.4
1700,Wednesday,68,6.4,11.6,5.2
1116,Monday,24,6.7,11.6,5.0
2600,Saturday,2,7.0,12.0,5.0
3019,Saturday,1,7.0,12.0,5.0
1700,Thursday,91,6.8,11.7,4.9
1116,Thursday,31,8.8,13.2,4.4
1116,Friday,39,8.2,12.4,4.2
4116,Wednesday,54,6.7,10.7,4.0
2600,Friday,4,8.2,12.2,4.0
1700,Monday,31,7.2,11.0,3.9
2600,Wednesday,5,9.0,12.8,3.8
4116,Monday,53,6.3,10.1,3.7
1700,Friday,31,8.6,12.3,3.6
2600,Tuesday,11,7.7,11.4,3.6
4116,Thursday,73,6.6,10.2,3.5
4116,Tuesday,64,6.6,9.9,3.3
2600,Thursday,3,9.0,12.3,3.3
2600,Monday,4,9.0,12.2,3.2
1116,Saturday,18,9.3,12.2,2.8
2009,Saturday,58,7.2,9.9,2.7
2009,Wednesday,91,6.1,8.8,2.6
2009,Thursday,92,6.4,9.0,2.5
4116,Friday,68,8.0,10.3,2.4
2009,Friday,87,8.2,10.3,2.1
2009,Tuesday,107,7.0,8.9,1.8
1700,Saturday,9,9.7,11.4,1.8
4116,Saturday,15,7.6,9.3,1.7
2009,Monday,31,6.6,7.9,1.3
6014,Tuesday,16,8.5,9.8,1.2
2023,Tuesday,27,6.7,7.9,1.1
6014,Thursday,19,10.4,11.4,1.0
2023,Wednesday,11,8.6,9.5,0.8
6014,Monday,15,10.5,11.2,0.7
2023,Thursday,19,7.6,8.0,0.4
6014,Saturday,15,9.0,9.0,0.0
3019,Thursday,2,13.0,13.0,0.0
4116,Sunday,1,9.0,9.0,0.0
2023,Monday,16,8.3,8.2,-0.1
6014,Friday,13,13.0,12.8,-0.2
3019,Friday,2,14.5,14.0,-0.5
6014,Wednesday,20,12.0,11.2,-0.8
2023,Friday,7,9.4,8.3,-1.1
2023,Saturday,6,8.5,7.0,-1.5
